    delta_RA   delta_DEC
    0.1462     -0.1578
    0.0782      0.0093
   -0.0667      0.2372
    0.0621     -0.0075
    0.8120     -2.5056
   -0.0134     -0.0840
    0.0786      0.0444
   -0.0856     -0.0614
    0.0619     -0.1395
   -0.0071     -0.0220
    0.0112     -0.0456
   -0.0023     -0.0573
    0.0940     -0.1323
   -0.0551     -0.0385
   -0.0160      0.0196
   -0.0214     -0.0278
   -0.0756     -0.0173
    0.0253     -0.0830
   -0.0090     -0.0156
   -0.0189      0.0429
   -0.0728     -0.0472
    0.0635      0.0746
    0.0827     -0.1346
    0.0568     -0.1520
    0.0419     -0.0426
   -0.0183      0.0358
   -0.0186      0.0472
   -0.0075     -0.0139
   -0.0864      0.3777
   -0.0023      0.0086
   -0.1312      0.1352
    0.0483     -0.1649
   -0.2455      0.2165
   -0.0729     -0.0368
    0.0484      0.0859
   -0.0222      0.0442
   -0.0022     -0.0592
    0.0292     -0.2475
   -0.0221      0.0278
   -0.0160     -0.0246
    0.0515      0.0053
   -0.1588      0.0408
   -0.0365      0.0816
   -0.0265      0.0524
    0.0134     -0.0599
    0.0603      0.0604
    0.0522      0.0065
    0.0318     -0.0634
    0.2026     -0.0271
   -0.0247      0.0761
    0.0210     -0.0328
    0.0328     -0.1084
   -0.0102     -0.1019
    0.0455     -0.0555
    0.0024      0.0112
   -0.0164     -0.1081
   -0.0939     -0.0502
   -0.0450     -0.0339
    0.0238     -0.0395
   -0.0185     -0.0359
   -0.1575     -0.2606
    0.0097      0.0060
   -0.0090      0.1582
   -0.1862     -0.1218
   -0.0037     -0.1230
   -0.1160      0.0516
    0.0249     -0.1201
    0.0146     -0.0041
   -0.0228     -0.1279
   -0.0111      0.0185
   -0.0046      0.0374
   -0.0319      0.0023
   -0.0484      0.1256
    0.0637      0.0673
    0.4203      0.1417
    0.0458     -0.0306
   -0.0146     -0.0182
    0.0417     -0.0746
    0.0155     -0.0085
   -0.0190     -0.0765
   -0.6278      0.0448
    0.0997      0.0023
    0.0326     -0.0770
    0.0081     -0.0549
    0.0356      0.0489
    0.0488     -0.0417
    0.0400    -26.4368
    0.0157     -0.0641
    0.0194     -0.0086
   -0.0224      0.6018
   -0.0188      0.0726
   -0.0132     -0.0658
    0.6818     -0.2526
   -0.0075     -0.0103
   -0.0859     -0.0407
    0.2649     -0.3564
   -0.0424      0.0044
   -0.0291     -0.0228
    0.0055     -0.0753
   -0.1463      0.0261
    0.0142      0.0400
    0.0059     -0.0504
   -0.2142      0.0020
   -0.0601     -0.1305
   -0.0186      0.0093
    0.0225      0.0119
   -0.0096      0.0965
   -2.2265     -1.6247
    0.2672      0.0584
    0.0375      0.1826
    0.1414     -0.2033
    0.0123     -0.1040
   -0.0047     -0.0190
    0.1447     -0.2464
    0.0832     -0.1506
    0.0093      0.0899
    0.1398     -0.1349
   -0.1889      1.0913
    0.1617      0.0915
   -0.0728      0.1857
    0.0313     -0.1581
   -0.0218     -0.1220
    0.0168     -0.0159
    0.1711     -0.1071
    0.0106     -0.0080
    0.1446      0.2025
   -0.0221      0.0029
    0.0373      0.2360
    0.2968     -0.5030
   -0.0698     -0.1388
    0.0153     -0.1025
   -0.0327     -0.1135
    0.1284     -0.3971
    0.0782     -0.0024
   -0.1302     -0.1844
   -0.0166     -0.2424
    0.0872     -0.0261
    0.0236     -0.0911
   -0.3903      0.6683
   -0.0658      0.0899
   -0.0340     -1.2269
    0.0640      0.0106
    0.0486     -0.1949
   -0.0497      0.1077
   -0.0169     -0.0682
    0.1625     -0.1697
    0.0393     -0.2405
    0.1180     -0.3226
    0.0224      0.0343
    0.1556      0.0500
   -0.0940     -0.1853
   -0.1198      0.0356
    0.0834      0.1067
   -0.0779     -0.0589
   -0.1058     -0.3956
    0.0495      0.4300
    0.0078      0.1917
