MJD,cpo_dx,cpo_dy,err_dx,err_dy
54304,1.9e-05,-0.000456,1.9e-05,0.000456
54305,7e-06,-0.000527,7e-06,0.000527
54306,4.4e-05,-0.000502,4.4e-05,0.000502
54307,9.6e-05,-0.00044,9.6e-05,0.00044
54308,0.000139,-0.000373,0.000139,0.000373
54309,0.000108,-0.000358,0.000108,0.000358
54310,4.2e-05,-0.000372,4.2e-05,0.000372
54311,-1.8e-05,-0.00039,1.8e-05,0.00039
54312,-4.7e-05,-0.0004,4.7e-05,0.0004
54313,-7e-06,-0.000396,7e-06,0.000396
54314,-6.4e-05,-0.000302,6.4e-05,0.000302
54315,-0.000128,-0.000343,0.000128,0.000343
54316,-0.000154,-0.000411,0.000154,0.000411
54317,-0.000153,-0.000414,0.000153,0.000414
54318,-0.00013,-0.000391,0.00013,0.000391
54319,-9.1e-05,-0.00036,9.1e-05,0.00036
54320,-3.5e-05,-0.000381,3.5e-05,0.000381
54321,2.3e-05,-0.000416,2.3e-05,0.000416
54322,7.2e-05,-0.000442,7.2e-05,0.000442
54323,8e-05,-0.000427,8e-05,0.000427
54324,5.7e-05,-0.000383,5.7e-05,0.000383
54325,1.8e-05,-0.000332,1.8e-05,0.000332
54326,-2.9e-05,-0.000282,2.9e-05,0.000282
54327,-7.9e-05,-0.000255,7.9e-05,0.000255
54328,-0.000125,-0.000242,0.000125,0.000242
54329,-0.000162,-0.000235,0.000162,0.000235
54330,-0.000155,-0.000231,0.000155,0.000231
54331,-0.000124,-0.000231,0.000124,0.000231
54332,-8.8e-05,-0.000238,8.8e-05,0.000238
54333,-6e-05,-0.000252,6e-05,0.000252
54334,-7.8e-05,-0.000283,7.8e-05,0.000283
54335,-0.000113,-0.000319,0.000113,0.000319
54336,-0.000147,-0.000353,0.000147,0.000353
54337,-0.000142,-0.000373,0.000142,0.000373
54338,-0.000116,-0.00038,0.000116,0.00038
54339,-8.9e-05,-0.000379,8.9e-05,0.000379
54340,-7.4e-05,-0.000367,7.4e-05,0.000367
54341,-0.000111,-0.000341,0.000111,0.000341
54342,-0.000167,-0.000307,0.000167,0.000307
54343,-0.000221,-0.000273,0.000221,0.000273
54344,-0.000233,-0.000257,0.000233,0.000257
54345,-0.000215,-0.000252,0.000215,0.000252
54346,-0.000183,-0.00025,0.000183,0.00025
54347,-0.000142,-0.000246,0.000142,0.000246
54348,-9.8e-05,-0.000236,9.8e-05,0.000236
54349,-5.6e-05,-0.000206,5.6e-05,0.000206
54350,-2.3e-05,-0.000177,2.3e-05,0.000177
54351,-2e-05,-0.000176,2e-05,0.000176
