# MJD,    cpo_dx,    cpo_dy
52009,  0.000010, -0.000214
52010, -0.000038, -0.000209
52011, -0.000086, -0.000206
52012, -0.000129, -0.000193
52013, -0.000157, -0.000181
52014, -0.000160, -0.000177
52015, -0.000128, -0.000189
52016, -0.000050, -0.000224
52017,  0.000110, -0.000308
52018,  0.000056, -0.000240
52019, -0.000059, -0.000141
52020, -0.000117, -0.000100
52021, -0.000146, -0.000091
52022, -0.000152, -0.000107
52023, -0.000139, -0.000142
52024, -0.000114, -0.000188
52025, -0.000118, -0.000206
52026, -0.000128, -0.000213
52027, -0.000131, -0.000220
52028, -0.000126, -0.000227
52029, -0.000110, -0.000233
52030, -0.000081, -0.000238
52031, -0.000039, -0.000242
52032,  0.000022, -0.000244
52033,  0.000037, -0.000164
52034, -0.000006, -0.000007
52035, -0.000078,  0.000134
52036, -0.000154,  0.000181
52037, -0.000212,  0.000058
52038, -0.000225, -0.000386
52039, -0.000197, -0.000381
52040, -0.000161, -0.000215
52041, -0.000134, -0.000146
52042, -0.000114, -0.000124
52043, -0.000102, -0.000146
52044, -0.000099, -0.000210
52045, -0.000103, -0.000328
52046, -0.000150, -0.000344
52047, -0.000224, -0.000300
52048, -0.000301, -0.000247
52049, -0.000364, -0.000195
52050, -0.000395, -0.000159
52051, -0.000375, -0.000152
52052, -0.000281, -0.000202
52053, -0.000150, -0.000179
52054, -0.000008, -0.000084
52055,  0.000047, -0.000038
52056,  0.000047, -0.000021
52057,  0.000010, -0.000030
52058, -0.000051, -0.000063
52059, -0.000123, -0.000122
52060, -0.000191, -0.000210
52061, -0.000236, -0.000251
52062, -0.000250, -0.000231
52063, -0.000241, -0.000191
52064, -0.000214, -0.000165
52065, -0.000174, -0.000183
52066, -0.000126, -0.000290
52067, -0.000076, -0.000323
52068, -0.000031, -0.000267
52069, -0.000003, -0.000177
52070,  0.000000, -0.000093
52071, -0.000031, -0.000056
52072, -0.000107, -0.000105
52073, -0.000261, -0.000322
52074, -0.000223, -0.000273
52075, -0.000154, -0.000135
52076, -0.000162, -0.000059
52077, -0.000195, -0.000012
52078, -0.000224,  0.000012
52079, -0.000223,  0.000017
52080, -0.000164,  0.000007
52081, -0.000008, -0.000013
52082,  0.000088, -0.000024
52083,  0.000087, -0.000025
52084,  0.000029, -0.000024
52085, -0.000056, -0.000030
52086, -0.000138, -0.000051
52087, -0.000199, -0.000111
52088, -0.000068, -0.000010
52089,  0.000073,  0.000088
52090,  0.000116,  0.000087
52091,  0.000096,  0.000036
52092,  0.000027, -0.000039
52093, -0.000077, -0.000111
52094, -0.000215, -0.000152
52095, -0.000252, -0.000173
52096, -0.000188, -0.000183
52097, -0.000151, -0.000257
52098, -0.000130, -0.000336
52099, -0.000131, -0.000377
52100, -0.000163, -0.000341
52101, -0.000230, -0.000158
52102, -0.000389, -0.000147
52103, -0.000503, -0.000189
52104, -0.000508, -0.000182
52105, -0.000451, -0.000154
52106, -0.000363, -0.000116
52107, -0.000273, -0.000074
52108, -0.000206, -0.000036
52109, -0.000247, -0.000049
52110, -0.000241, -0.000032
52111, -0.000137,  0.000039
52112, -0.000025,  0.000112
52113,  0.000030,  0.000151
52114, -0.000039,  0.000118
52115, -0.000354, -0.000050
52116, -0.000384, -0.000137
52117, -0.000247, -0.000161
52118, -0.000078, -0.000154
52119,  0.000090, -0.000125
52120,  0.000208, -0.000085
52121,  0.000227, -0.000046
52122,  0.000099, -0.000019
52123, -0.000250, -0.000020
52124, -0.000443, -0.000002
52125, -0.000404,  0.000041
52126, -0.000267,  0.000090
52127, -0.000133,  0.000128
52128, -0.000107,  0.000138
52129, -0.000355,  0.000108
52130, -0.000304, -0.000030
52131, -0.000187, -0.000149
52132, -0.000162, -0.000183
52133, -0.000172, -0.000169
52134, -0.000192, -0.000127
52135, -0.000199, -0.000075
52136, -0.000169, -0.000034
52137, -0.000069, -0.000029
52138,  0.000003,  0.000024
52139,  0.000018,  0.000131
52140, -0.000013,  0.000243
52141, -0.000087,  0.000317
52142, -0.000198,  0.000311
52143, -0.000363,  0.000179
52144, -0.000327, -0.000072
52145, -0.000217, -0.000237
52146, -0.000142, -0.000238
52147, -0.000092, -0.000154
52148, -0.000078, -0.000038
52149, -0.000110,  0.000058
52150, -0.000223,  0.000071
52151, -0.000121,  0.000056
52152, -0.000005,  0.000028
52153, -0.000007, -0.000006
52154, -0.000064, -0.000031
52155, -0.000143, -0.000036
52156, -0.000210, -0.000005
52157, -0.000233,  0.000072
52158, -0.000168,  0.000219
52159, -0.000151,  0.000347
52160, -0.000205,  0.000422
52161, -0.000272,  0.000432
52162, -0.000304,  0.000364
52163, -0.000255,  0.000204
52164, -0.000032, -0.000105
52165, -0.000119, -0.000073
52166, -0.000293,  0.000009
52167, -0.000371, -0.000053
52168, -0.000396, -0.000154
52169, -0.000378, -0.000238
52170, -0.000324, -0.000248
52171, -0.000242, -0.000127
52172, -0.000139,  0.000209
52173, -0.000110,  0.000443
52174, -0.000168,  0.000489
52175, -0.000251,  0.000404
52176, -0.000308,  0.000227
52177, -0.000291, -0.000003
52178, -0.000129, -0.000305
52179,  0.000030,  0.000004
52180,  0.000103,  0.000349
52181,  0.000079,  0.000410
52182,  0.000009,  0.000327
